invoice_year,Category,Channel,lines,units,revenue,gross_revenue,return_lines
2024,Apparel & Accessories,Online,16534,21261,549263.25,702554.98,4166
2024,Toys & Games,Mobile App,4623,8026,130960.73,141264.67,400
2024,Stationery & Office,In-Store,17456,55452,343108.23,348842.63,361
2024,Electronics Accessories,In-Store,22068,32608,1195321.5,1295775.47,1933
2024,Personal Care,In-Store,21749,43323,550102.93,564323.75,663
2024,Apparel & Accessories,In-Store,26546,39615,1019088.18,1135324.63,3113
2025,Electronics Accessories,In-Store,21172,30834,1121496.66,1218023.43,1772
2025,Food & Snacks,In-Store,20898,55099,430957.36,434029.46,193
2025,Stationery & Office,In-Store,16991,53178,332998.39,337997.17,328
2025,Garden & Outdoor,Online,11319,17419,564920.41,608667.57,960
2024,Electronics Accessories,Online,13819,18481,683797.73,807272.09,2415
2024,Pet Supplies,Online,9545,18356,354942.45,373815.68,575
2024,Health & Wellness,In-Store,13800,25542,428091.35,439941.69,472
2025,Kitchen & Dining,Mobile App,8363,16863,242248.4,260601.34,641
2025,Food & Snacks,Online,14863,39419,310002.51,315113.06,320
2025,Health & Wellness,Online,9363,16891,285954.17,303842.68,679
2025,Gifts & Seasonal,In-Store,23863,47881,685637.47,705771.77,840
2025,Health & Wellness,In-Store,13504,24439,413689.33,425206.07,449
2024,Health & Wellness,Online,8506,14905,251942.27,267526.66,618
2024,Kitchen & Dining,Online,18812,37953,552398.93,594395.08,1648
2024,Pet Supplies,Mobile App,2967,5617,106628.33,111417.9,149
2025,Toys & Games,Online,15545,26988,442764.72,482329.87,1556
2025,Apparel & Accessories,Mobile App,7217,9788,247857.17,304662.71,1551
2025,Electronics Accessories,Mobile App,6122,8403,300242.55,351495.64,953
2025,Garden & Outdoor,In-Store,16042,25672,826071.3,856590.29,651
2024,Stationery & Office,Online,10831,33379,209939.86,217204.21,455
2024,Food & Snacks,Online,13672,36413,283218.43,288342.29,301
2024,Kitchen & Dining,Mobile App,5889,11566,176144.27,186799.72,405
2024,Garden & Outdoor,Mobile App,3417,5462,172690.46,185973.29,279
2024,Home Décor,In-Store,26400,51531,673460.91,705428.45,1431
2024,Kitchen & Dining,In-Store,29712,61688,899181.17,931407.85,1247
2024,Pet Supplies,In-Store,15180,29641,577182.28,590418.92,428
2025,Apparel & Accessories,Online,17925,23731,603477.43,766714.55,4411
2025,Gifts & Seasonal,Online,16560,32280,454784.15,483528.18,1193
2025,Kitchen & Dining,Online,20237,40884,596155.64,645205.6,1815
2025,Personal Care,Mobile App,6034,11946,153106.65,159276.43,285
2025,Stationery & Office,Mobile App,4821,14963,91926.21,94749.3,186
2024,Toys & Games,In-Store,22926,41558,684873.33,713204.79,1091
2024,Garden & Outdoor,Online,10385,15943,518723.01,561139.22,897
2024,Garden & Outdoor,In-Store,16914,26847,883022.44,915682.35,682
2025,Electronics Accessories,Online,14844,19947,747406.54,879934.2,2620
2024,Personal Care,Online,13627,26844,341106.22,358543.41,819
2024,Apparel & Accessories,Mobile App,5234,7166,183281.82,225311.3,1086
2024,Gifts & Seasonal,Mobile App,5517,10628,149379.51,157348.08,339
2024,Food & Snacks,Mobile App,4222,10931,86781.95,87943.13,77
2024,Food & Snacks,In-Store,21697,58036,455792.2,459511.76,232
2025,Stationery & Office,Online,11949,37138,233742.77,242344.92,533
2025,Pet Supplies,Online,10267,19582,386711.23,406390.16,598
2025,Home Décor,Online,17760,32855,437307.62,485486.56,2095
2025,Home Décor,Mobile App,7242,13600,182831.49,198784.71,727
2025,Gifts & Seasonal,Mobile App,6916,13677,193469.52,203028.67,402
2025,Apparel & Accessories,In-Store,25696,37708,969822.63,1085390.56,3067
2025,Pet Supplies,In-Store,14665,29104,555484.46,567760.72,404
2024,Home Décor,Mobile App,5214,9811,131163.29,142226.01,534
2024,Gifts & Seasonal,Online,17311,34331,485611.09,516868.36,1281
2024,Personal Care,Mobile App,4431,8777,112445.93,116942.92,226
2024,Stationery & Office,Mobile App,3431,10657,66864.02,68791.91,126
2025,Personal Care,Online,14542,28590,362577.26,381537.88,871
2025,Toys & Games,Mobile App,6359,11108,178923.91,193483.76,519
2025,Pet Supplies,Mobile App,4309,8400,158406.21,166959.59,214
2025,Garden & Outdoor,Mobile App,4733,7370,238459.0,256383.8,384
2025,Personal Care,In-Store,20972,41856,534935.44,548250.05,641
2024,Electronics Accessories,Mobile App,4505,6336,229756.25,259654.52,640
2024,Toys & Games,Online,14425,24979,401895.72,439803.7,1488
2024,Home Décor,Online,16114,30672,399373.0,444762.5,1871
2024,Gifts & Seasonal,In-Store,27526,55941,783811.41,807233.27,954
2024,Health & Wellness,Mobile App,2831,5080,87117.41,92868.52,194
2025,Food & Snacks,Mobile App,5924,15388,120383.13,122053.57,105
2025,Health & Wellness,Mobile App,3863,6947,114006.15,120883.3,252
2025,Kitchen & Dining,In-Store,29144,61245,885080.3,918974.54,1254
2025,Toys & Games,In-Store,22132,39992,644406.06,672594.48,1111
2025,Home Décor,In-Store,25097,49698,655349.75,687189.1,1364
