Category,week_start,weekly_revenue,weekly_units,rolling_4wk_avg_revenue,revenue_vs_prior_4wk,is_partial_week
Apparel & Accessories,2024-01-01,28374.91,1096,28374.91,,False
Apparel & Accessories,2024-01-08,26081.59,1027,27228.25,0.92,False
Apparel & Accessories,2024-01-15,25687.5,961,26714.67,0.94,False
Apparel & Accessories,2024-01-22,28621.97,1043,27191.49,1.07,False
Apparel & Accessories,2024-01-29,28560.96,1149,27238.0,1.05,False
Apparel & Accessories,2024-02-05,25628.43,986,27124.71,0.94,False
Apparel & Accessories,2024-02-12,29463.37,1101,28068.68,1.09,False
Apparel & Accessories,2024-02-19,23682.43,956,26833.8,0.84,False
Apparel & Accessories,2024-02-26,28056.27,1036,26707.63,1.05,False
Apparel & Accessories,2024-03-04,35941.74,1302,29285.95,1.35,False
Apparel & Accessories,2024-03-11,34397.31,1287,30519.44,1.17,False
Apparel & Accessories,2024-03-18,38877.76,1551,34318.27,1.27,False
Apparel & Accessories,2024-03-25,35275.56,1421,36123.09,1.03,False
Apparel & Accessories,2024-04-01,28735.59,1149,34321.56,0.8,False
Apparel & Accessories,2024-04-08,34733.97,1263,34405.72,1.01,False
Apparel & Accessories,2024-04-15,28619.18,1114,31841.07,0.83,False
Apparel & Accessories,2024-04-22,32119.17,1210,31051.98,1.01,False
Apparel & Accessories,2024-04-29,30503.92,1078,31494.06,0.98,False
Apparel & Accessories,2024-05-06,36696.22,1371,31984.62,1.17,False
Apparel & Accessories,2024-05-13,31114.9,1239,32608.55,0.97,False
Apparel & Accessories,2024-05-20,29000.78,1133,31828.96,0.89,False
Apparel & Accessories,2024-05-27,29332.27,1141,31536.04,0.92,False
Apparel & Accessories,2024-06-03,29024.48,1171,29618.11,0.92,False
Apparel & Accessories,2024-06-10,29885.52,1124,29310.76,1.01,False
Apparel & Accessories,2024-06-17,32973.81,1195,30304.02,1.12,False
Apparel & Accessories,2024-06-24,27619.43,1091,29875.81,0.91,False
Apparel & Accessories,2024-07-01,28853.37,1131,29833.03,0.97,False
Apparel & Accessories,2024-07-08,30635.27,1193,30020.47,1.03,False
Apparel & Accessories,2024-07-15,29602.47,1129,29177.64,0.99,False
Apparel & Accessories,2024-07-22,29652.8,1217,29685.98,1.02,False
Apparel & Accessories,2024-07-29,39139.09,1466,32257.41,1.32,False
Apparel & Accessories,2024-08-05,38989.2,1552,34345.89,1.21,False
Apparel & Accessories,2024-08-12,38514.72,1479,36573.95,1.12,False
Apparel & Accessories,2024-08-19,41608.17,1615,39562.8,1.14,False
Apparel & Accessories,2024-08-26,41026.37,1533,40034.62,1.04,False
Apparel & Accessories,2024-09-02,37453.16,1471,39650.61,0.94,False
Apparel & Accessories,2024-09-09,37258.68,1427,39336.6,0.94,False
Apparel & Accessories,2024-09-16,37750.41,1404,38372.16,0.96,False
Apparel & Accessories,2024-09-23,32099.25,1294,36140.38,0.84,False
Apparel & Accessories,2024-09-30,32583.89,1214,34923.06,0.9,False
Apparel & Accessories,2024-10-07,31841.36,1254,33568.73,0.91,False
Apparel & Accessories,2024-10-14,33559.7,1326,32521.05,1.0,False
Apparel & Accessories,2024-10-21,34259.42,1314,33061.09,1.05,False
Apparel & Accessories,2024-10-28,34223.72,1330,33471.05,1.04,False
Apparel & Accessories,2024-11-04,38585.48,1500,35157.08,1.15,False
Apparel & Accessories,2024-11-11,38119.55,1529,36297.04,1.08,False
Apparel & Accessories,2024-11-18,36265.34,1484,36798.52,1.0,False
Apparel & Accessories,2024-11-25,43721.65,1742,39173.01,1.19,False
Apparel & Accessories,2024-12-02,40389.38,1711,39623.98,1.03,False
Apparel & Accessories,2024-12-09,41149.23,1645,40381.4,1.04,False
Apparel & Accessories,2024-12-16,41042.92,1757,41575.8,1.02,False
Apparel & Accessories,2024-12-23,44164.93,1710,41686.62,1.06,False
Apparel & Accessories,2024-12-30,34755.47,1303,40278.14,0.83,False
Apparel & Accessories,2025-01-06,31859.09,1184,37955.6,0.79,False
Apparel & Accessories,2025-01-13,30347.05,1146,35281.63,0.8,False
Apparel & Accessories,2025-01-20,28237.82,1071,31299.86,0.8,False
Apparel & Accessories,2025-01-27,27109.2,1066,29388.29,0.87,False
Apparel & Accessories,2025-02-03,29437.03,1211,28782.77,1.0,False
Apparel & Accessories,2025-02-10,26472.63,1023,27814.17,0.92,False
Apparel & Accessories,2025-02-17,31212.0,1189,28557.72,1.12,False
Apparel & Accessories,2025-02-24,30962.35,1192,29521.0,1.08,False
Apparel & Accessories,2025-03-03,39540.91,1505,32046.97,1.34,False
Apparel & Accessories,2025-03-10,38460.29,1457,35043.89,1.2,False
Apparel & Accessories,2025-03-17,36755.93,1441,36429.87,1.05,False
Apparel & Accessories,2025-03-24,34693.41,1354,37362.64,0.95,False
Apparel & Accessories,2025-03-31,32458.13,1230,35591.94,0.87,False
