invoice_year,invoice_month,invoice_month_name,Channel,lines,units,revenue,gross_revenue,return_lines
2025,5,May,Online,15083,28743,488571.42,539019.66,1501
2024,11,November,Online,16494,31543,492381.23,545779.04,1671
2025,10,October,Online,15408,30383,481720.73,535759.17,1543
2024,11,November,In-Store,27016,53719,840026.38,883707.46,1350
2024,12,December,Online,20825,39391,612195.72,678915.46,2176
2025,12,December,Mobile App,8328,16061,250955.94,273055.2,730
2025,12,December,In-Store,29648,57643,913348.7,960658.62,1437
2025,11,November,Online,18709,35806,562733.04,622906.61,1895
2024,12,December,Mobile App,6315,11942,187628.97,204555.63,537
2024,12,December,In-Store,32567,63755,1017977.72,1064637.01,1509
2025,12,December,Online,20002,38218,596191.58,666980.34,2092
2025,11,November,Mobile App,7557,14418,224902.23,247266.0,679
2025,11,November,In-Store,27195,53889,846209.73,889189.35,1345
2025,10,October,In-Store,22011,44257,709256.1,742807.34,1061
2024,11,November,Mobile App,5354,10456,163338.26,176776.69,466
2025,10,October,Mobile App,6393,12251,199053.12,219773.71,542
2025,5,May,Mobile App,6214,12011,198087.9,216486.72,544
2025,5,May,In-Store,21328,41916,702932.98,735351.4,938
2025,3,March,Mobile App,6005,11557,186591.1,204492.52,548
2025,7,July,In-Store,19564,38988,635403.17,664525.92,885
2024,5,May,Online,13920,27039,448500.16,495135.67,1335
2024,10,October,Online,14127,27045,431920.9,475539.45,1371
2024,10,October,Mobile App,4444,8597,141662.61,152259.99,345
2024,10,October,In-Store,22020,44748,724671.66,759972.23,1076
2024,8,August,Online,13873,26615,435680.62,481714.41,1423
2024,8,August,Mobile App,4604,8738,147470.89,160662.15,399
2024,5,May,Mobile App,4505,8777,148392.91,160335.55,373
2024,5,May,In-Store,21574,42908,713794.0,746436.36,983
2025,3,March,Online,14593,27852,450088.14,497289.15,1483
2025,3,March,In-Store,20200,40015,662189.09,698138.9,1029
2025,8,August,Online,14091,26437,439691.18,487950.93,1455
2025,7,July,Mobile App,6025,11750,190259.87,208072.63,513
2024,8,August,In-Store,22589,44791,740480.61,777767.51,1128
2025,7,July,Online,14325,27196,437343.27,482093.8,1433
2025,8,August,Mobile App,5582,10321,176388.08,197308.43,462
2025,8,August,In-Store,20004,39555,652086.03,683345.75,973
2025,6,June,Mobile App,5667,11033,180343.26,197262.41,481
2025,9,September,In-Store,19204,38195,628354.61,662583.38,989
2025,6,June,In-Store,19788,39048,651341.8,681616.3,937
2024,3,March,In-Store,21690,42887,710432.16,746736.74,1094
2025,4,April,Mobile App,5644,10742,176763.64,193122.8,501
2025,6,June,Online,13739,26216,443202.93,486485.65,1348
2025,4,April,Online,13221,25322,425170.56,467303.84,1238
2024,6,June,Mobile App,4070,7832,127673.18,138545.38,322
2024,6,June,Online,13169,25313,412456.8,457470.39,1323
2024,3,March,Mobile App,4250,7835,133060.14,147210.94,400
2024,7,July,Mobile App,4283,8249,137717.38,149246.6,324
2024,3,March,Online,13244,25600,415265.23,458249.75,1306
2025,9,September,Mobile App,5499,10446,167590.95,182572.67,481
2025,4,April,In-Store,19066,38340,632724.69,662589.41,900
2024,6,June,In-Store,21508,42571,711568.98,746215.67,1026
2025,9,September,Online,13528,25627,419761.69,462375.57,1405
2024,7,July,Online,12769,24934,400863.05,442791.46,1270
2024,7,July,In-Store,20515,40988,674145.17,708435.15,973
2025,2,February,Mobile App,4678,9172,141092.89,151485.48,360
2025,2,February,Online,11546,22904,350643.83,385219.48,1105
2025,2,February,In-Store,16517,33646,528340.05,557619.59,758
2024,2,February,In-Store,16553,33186,526729.03,551863.79,750
2024,9,September,Mobile App,4037,7543,120723.89,131517.16,361
2024,9,September,Online,12568,23767,390111.46,431522.92,1294
2024,4,April,Mobile App,3990,7668,131066.35,141846.63,341
2024,4,April,Online,12670,23982,395868.45,440680.99,1257
2024,1,January,Mobile App,3343,6385,100331.47,109833.56,287
2024,2,February,Online,10482,20308,321832.18,353659.99,1034
2024,2,February,Mobile App,3404,6599,105796.16,115399.93,300
2025,1,January,Online,12053,23383,370156.0,407180.95,1153
2025,1,January,In-Store,17155,34327,548147.16,573756.64,822
2024,1,January,In-Store,17099,35262,546687.26,572101.2,798
2024,9,September,In-Store,20386,40294,672796.29,708214.88,1008
2024,1,January,Online,10450,20027,308904.94,344537.43,1074
2024,4,April,In-Store,19998,39867,666884.64,694165.53,912
2025,1,January,Mobile App,4736,9529,144342.5,155975.34,378
