invoice_year,invoice_hour,Channel,transactions,revenue
2024,3,Online,960,28679.48
2024,5,Mobile App,248,6833.26
2024,9,In-Store,7782,251555.45
2024,11,Mobile App,1971,61863.92
2024,15,Online,6924,213441.52
2024,19,In-Store,20148,664835.97
2025,1,Online,3441,104093.83
2025,3,Online,1083,31491.18
2025,13,Mobile App,5313,162633.3
2025,14,Mobile App,2803,86694.25
2025,17,Online,8063,243423.82
2025,22,Mobile App,8090,250988.02
2025,1,Mobile App,278,7376.02
2024,0,Online,3194,96109.43
2024,1,Online,3058,92844.29
2024,8,Mobile App,3986,124231.14
2024,8,Online,3887,120655.99
2024,9,Mobile App,2844,86167.38
2024,11,In-Store,19993,637360.08
2024,12,In-Store,27892,896593.69
2024,12,Mobile App,4259,131678.65
2024,13,Online,9495,288470.84
2024,16,Online,6372,201515.3
2024,17,In-Store,25968,856511.15
2024,6,Online,921,26800.08
2024,10,Mobile App,1604,50777.84
2025,2,Mobile App,294,8993.28
2025,9,Online,4828,146663.13
2025,10,Online,6646,210551.03
2025,11,Mobile App,2882,85060.97
2025,12,Online,10022,312615.84
2025,16,In-Store,21251,689053.68
2025,19,Mobile App,2705,88023.75
2024,0,Mobile App,752,22239.65
2024,7,Online,3170,97050.14
2024,8,In-Store,5960,195168.54
2024,12,Online,9280,284944.97
2024,14,In-Store,23654,758734.6
2024,18,In-Store,26072,863017.41
2024,20,Online,16155,497706.78
2024,21,Mobile App,5943,183849.39
2025,7,Mobile App,4066,124417.37
2025,14,In-Store,21644,709270.11
2025,16,Mobile App,815,22888.04
2025,18,Online,10665,317691.09
2025,21,Online,16692,524137.59
2025,23,Online,10985,342322.73
2024,4,Online,1014,30673.96
2024,11,Online,8460,258932.5
2024,16,In-Store,22702,737097.86
2024,18,Online,10088,303999.27
2024,18,Mobile App,1016,30033.28
2025,2,Online,955,31868.2
2025,6,Mobile App,2204,69881.72
2025,7,Online,3467,106020.75
2025,8,Online,3973,120750.97
2025,10,Mobile App,2163,67063.13
2025,12,Mobile App,5824,178978.85
2025,18,Mobile App,1355,43675.78
2025,22,Online,14022,440886.0
2025,23,Mobile App,5705,176242.58
2025,5,Mobile App,395,14692.66
2024,5,Online,875,26507.12
2024,7,Mobile App,2999,95619.36
2024,9,Online,4504,136649.47
2024,10,In-Store,11968,380903.15
2024,13,In-Store,28604,930494.49
2024,14,Online,8086,244900.23
2024,17,Mobile App,719,23823.13
2024,20,In-Store,13921,457626.54
2024,21,Online,16315,506458.25
2024,22,Online,13266,408321.35
2024,23,Online,10296,326382.24
2025,4,Online,1016,31932.78
2025,11,Online,8932,277119.39
2025,19,Online,15257,478196.57
2025,20,In-Store,13016,419429.8
2024,14,Mobile App,1909,58353.77
2024,16,Mobile App,665,18933.98
2024,19,Online,13515,420189.49
2024,19,Mobile App,2144,66993.6
2024,2,Mobile App,216,6601.69
2024,2,Online,861,25499.0
2024,3,Mobile App,164,5180.89
2025,3,Mobile App,300,9210.69
2025,13,In-Store,27610,878050.86
2025,13,Online,10292,310453.89
2025,14,Online,9334,301349.08
2025,17,Mobile App,1058,30208.09
2025,18,In-Store,25022,798494.29
2025,19,In-Store,19207,622835.51
2025,20,Online,17044,526294.84
2025,21,In-Store,8763,281772.7
2024,22,Mobile App,6057,194403.03
2024,23,Mobile App,3971,125177.51
2025,0,Online,3540,111396.96
2025,6,Online,1111,33881.28
2025,8,Mobile App,5656,174677.1
2025,9,Mobile App,4091,130564.41
2025,9,In-Store,7280,233358.8
2025,10,In-Store,12001,388494.96
2025,11,In-Store,19995,641112.82
2025,16,Online,6886,214840.2
2025,17,In-Store,24353,780317.97
2025,21,Mobile App,8235,255517.0
2024,6,Mobile App,1490,44928.87
2024,10,Online,6411,197953.87
2024,13,Mobile App,4343,144324.5
2024,15,In-Store,20242,642775.06
2024,15,Mobile App,749,24751.6
2024,17,Online,7484,231295.17
2024,20,Mobile App,4132,125113.66
2024,21,In-Store,8609,273519.91
2024,1,Mobile App,191,6189.57
2024,4,Mobile App,227,6792.54
2025,0,Mobile App,863,26179.19
2025,4,Mobile App,275,8407.62
2025,8,In-Store,5908,189881.37
2025,12,In-Store,26274,853841.36
2025,15,Online,7084,217425.6
2025,15,In-Store,19356,624419.88
2025,15,Mobile App,1173,38720.74
2025,20,Mobile App,5785,175276.92
2025,5,Online,960,29867.62
