StockCode,Description,Category,ReorderPoint,net_sold
17595,STAR GOLD GLOVES,Apparel & Accessories,112,565
21274,MODERN BLACK RESISTANCE BANDS,Health & Wellness,64,603
21555C,CLASSIC SILVER RESISTANCE BANDS,Health & Wellness,93,647
10490,GEOMETRIC GOLD CUSHION COVER,Home Décor,135,662
11387C,MODERN GREEN THROW BLANKET,Home Décor,82,681
19749,SCANDI GREEN POWER BANK,Electronics Accessories,81,766
11133,BOTANICAL GREEN CUSHION COVER,Home Décor,83,766
20952,SPOTTY GOLD RESISTANCE BANDS,Health & Wellness,44,791
11151B,SCANDI SILVER CUSHION COVER,Home Décor,95,813
17028,BOTANICAL BLACK BODY WASH,Personal Care,122,856
11293,GEOMETRIC RED CANDLE HOLDER,Home Décor,93,877
21199A,SPOTTY BLUE VITAMIN ORGANISER,Health & Wellness,63,922
15333A,RETRO GREEN SKIPPING ROPE,Toys & Games,70,926
15791C,GEOMETRIC SILVER BUILDING BLOCKS,Toys & Games,131,933
20280,RUSTIC BLACK LEASH,Pet Supplies,15,969
21429,RUSTIC SILVER FOAM ROLLER,Health & Wellness,71,1088
13561,CLASSIC GREEN GIFT BOX,Gifts & Seasonal,77,1150
15957,RUSTIC GOLD CARD GAME,Toys & Games,32,1232
19263,STRIPED IVORY SOLAR LIGHT,Garden & Outdoor,70,1286
18325,HEART RED GLOVES,Apparel & Accessories,25,1348
